ArchiveID	OriginalID	Species	Race	Method	SampleDate	YEAR	LocID	CollLoc	BegLongitude	BegLatitude	EndLongitude	EndLatitude	FieldPreserve	LabPreserve	Sex	ForkLength	AdClip	HeadTag	LifeStage	PhysApp	Tissue	SamplerNote	ArchiveNote	AirTemp	WaterTemp	MaturityRanking	QA/QC	CWT_Code	PIT_Tag	Hallprint	Radio_Tag	Acoustic_Tag	Total_Length	ArchivePres	depleted
U000063DLC	U000063DLC	CHIN	SPRING	MIDWATER TRAWL	3/18/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	81	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000065DLC	U000065DLC	CHIN	WINTER	MIDWATER TRAWL	3/18/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	118	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000066DLC	U000066DLC	CHIN	SPRING	MIDWATER TRAWL	3/18/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	78	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000078DLC	U000078DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/21/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	64	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000077DLC	U000077DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/21/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	122	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000076DLC	U000076DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/21/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	81	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000075DLC	U000075DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/21/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	67	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000074DLC	U000074DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/21/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	81	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000073DLC	U000073DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/21/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	121	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000072DLC	U000072DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/21/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	132	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000071DLC	U000071DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/21/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	109	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000070DLC	U000070DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/21/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	83	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000069DLC	U000069DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/21/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	112	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000068DLC	U000068DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/21/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	75	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000067DLC	U000067DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/21/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	88	N		JUVENILE		CAUDAL						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000089DLC	U000089DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/23/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	78	N		JUVENILE		ADIPOSE						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000088DLC	U000088DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/23/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	86	N		JUVENILE		ADIPOSE						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000087DLC	U000087DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/23/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	91	N		JUVENILE		ADIPOSE						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000086DLC	U000086DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/23/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	123	N		JUVENILE		ADIPOSE						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000085DLC	U000085DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/23/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	121	N		JUVENILE		ADIPOSE						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000084DLC	U000084DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/23/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	81	N		JUVENILE		ADIPOSE						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000083DLC	U000083DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/23/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	84	N		JUVENILE		ADIPOSE						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000082DLC	U000082DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/23/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	119	N		JUVENILE		ADIPOSE						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
U000081DLC	U000081DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/23/2000	2000	DLC	CENTRAL DELTA - CHIPPS ISLAND					TRIS BUFFER	TRIS BUFFER/-20 C	U	89	N		JUVENILE		ADIPOSE						12/3/2007 LK							TRIS BUFFER/-80 C	FALSE
