ArchiveID	OriginalID	Species	SampleRace	Method	SampleDate	LocID	CollLoc	Sex	ForkLength	AdClip	LifeStage	Tissue	SamplerNote	ArchiveNote	FieldPreserve	ARCHIVE PRESERVE	DEPLETED
U000080DLC	U000080DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/23/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	85	N	JUVENILE	ADIPOSE			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000081DLC	U000081DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/23/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	89	N	JUVENILE	ADIPOSE			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000082DLC	U000082DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/23/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	119	N	JUVENILE	ADIPOSE			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000083DLC	U000083DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/23/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	84	N	JUVENILE	ADIPOSE			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000084DLC	U000084DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/23/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	81	N	JUVENILE	ADIPOSE			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000085DLC	U000085DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/23/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	121	N	JUVENILE	ADIPOSE			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000086DLC	U000086DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/23/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	123	N	JUVENILE	ADIPOSE			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000087DLC	U000087DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/23/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	91	N	JUVENILE	ADIPOSE			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000088DLC	U000088DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/23/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	86	N	JUVENILE	ADIPOSE			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000089DLC	U000089DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/23/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	78	N	JUVENILE	ADIPOSE			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000090DLC	U000090DLC	CHIN	FALL	MIDWATER TRAWL	3/25/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	68	N	JUVENILE	CAUDAL			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000091DLC	U000091DLC	CHIN	WINTER	MIDWATER TRAWL	3/25/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	120	N	JUVENILE	CAUDAL			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000092DLC	U000092DLC	CHIN	SPRING	MIDWATER TRAWL	3/25/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	82	N	JUVENILE	CAUDAL			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000093DLC	U000093DLC	CHIN	SPRING	MIDWATER TRAWL	3/25/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	89	N	JUVENILE	CAUDAL			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000094DLC	U000094DLC	CHIN	UNKNOWN	MIDWATER TRAWL	3/25/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	83	N	JUVENILE	CAUDAL	NO TISSUE IN VIAL	DISCARDED	TRIS BUFFER	TRIS BUFFER/-20 C	TRUE
U000095DLC	U000095DLC	CHIN	SPRING	MIDWATER TRAWL	3/25/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	90	N	JUVENILE	CAUDAL			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000096DLC	U000096DLC	CHIN	SPRING	MIDWATER TRAWL	3/25/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	75	N	JUVENILE	CAUDAL			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000097DLC	U000097DLC	CHIN	WINTER	MIDWATER TRAWL	3/25/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	100	N	JUVENILE	CAUDAL			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000098DLC	U000098DLC	CHIN	SPRING	MIDWATER TRAWL	3/28/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	80	N	JUVENILE	CAUDAL			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000099DLC	U000099DLC	CHIN	SPRING	MIDWATER TRAWL	3/28/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	87	N	JUVENILE	CAUDAL			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000100DLC	U000100DLC	CHIN	SPRING	MIDWATER TRAWL	3/28/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	95	N	JUVENILE	CAUDAL			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000101DLC	U000101DLC	CHIN	WINTER	MIDWATER TRAWL	3/28/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	104	N	JUVENILE	CAUDAL			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000102DLC	U000102DLC	CHIN	WINTER	MIDWATER TRAWL	3/28/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	105	N	JUVENILE	CAUDAL			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000103DLC	U000103DLC	CHIN	WINTER	MIDWATER TRAWL	3/28/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	97	N	JUVENILE	CAUDAL			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000104DLC	U000104DLC	CHIN	SPRING	MIDWATER TRAWL	3/28/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	94	N	JUVENILE	CAUDAL			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000105DLC	U000105DLC	CHIN	SPRING	MIDWATER TRAWL	3/28/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	91	N	JUVENILE	CAUDAL			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
U000106DLC	U000106DLC	CHIN	SPRING	MIDWATER TRAWL	3/28/00	DLC	CENTRAL DELTA - CHIPPS ISLAND	U	92	N	JUVENILE	CAUDAL			TRIS BUFFER	TRIS BUFFER/-20 C	FALSE
